Row(name='Ogre', aura='Black', color='Green', description='A powerful monster with Green skin and a Black aura.', endurance=43, hitpoints=445, intelligence=37, location='The Underworld', strength=39, willpower=44)
Row(name='Gnoll', aura='White', color='Green', description='A powerful monster with Green skin and a White aura.', endurance=21, hitpoints=860, intelligence=23, location='The Mountains', strength=33, willpower=33)
Row(name='Orc', aura='Red', color='Blue', description='A powerful monster with Blue skin and a Red aura.', endurance=36, hitpoints=686, intelligence=33, location='The Forest', strength=20, willpower=10)
Row(name='Dragon', aura='Blue', color='Black', description='A powerful monster with Black skin and a Blue aura.', endurance=23, hitpoints=306, intelligence=26, location='The Mountains', strength=42, willpower=17)
Row(name='Troll', aura='Blue', color='Green', description='A powerful monster with Green skin and a Blue aura.', endurance=18, hitpoints=885, intelligence=42, location='The Mountains', strength=14, willpower=39)
Row(name='Ogre', aura='Black', color='Green', description='A powerful monster with Green skin and a Black aura.', endurance=43, hitpoints=445, intelligence=37, location='The Underworld', strength=39, willpower=44)
Row(name='Gnoll', aura='White', color='Green', description='A powerful monster with Green skin and a White aura.', endurance=21, hitpoints=860, intelligence=23, location='The Mountains', strength=33, willpower=33)
Row(name='Orc', aura='Red', color='Blue', description='A powerful monster with Blue skin and a Red aura.', endurance=36, hitpoints=686, intelligence=33, location='The Forest', strength=20, willpower=10)
Row(name='Dragon', aura='Blue', color='Black', description='A powerful monster with Black skin and a Blue aura.', endurance=23, hitpoints=306, intelligence=26, location='The Mountains', strength=42, willpower=17)
Row(name='Troll', aura='Blue', color='Green', description='A powerful monster with Green skin and a Blue aura.', endurance=18, hitpoints=885, intelligence=42, location='The Mountains', strength=14, willpower=39)
Row(name='Ogre', aura='Black', color='Green', description='A powerful monster with Green skin and a Black aura.', endurance=43, hitpoints=445, intelligence=37, location='The Underworld', strength=39, willpower=44)
Row(name='Gnoll', aura='White', color='Green', description='A powerful monster with Green skin and a White aura.', endurance=21, hitpoints=860, intelligence=23, location='The Mountains', strength=33, willpower=33)
Row(name='Orc', aura='Red', color='Blue', description='A powerful monster with Blue skin and a Red aura.', endurance=36, hitpoints=686, intelligence=33, location='The Forest', strength=20, willpower=10)
Row(name='Dragon', aura='Blue', color='Black', description='A powerful monster with Black skin and a Blue aura.', endurance=23, hitpoints=306, intelligence=26, location='The Mountains', strength=42, willpower=17)
Row(name='Troll', aura='Blue', color='Green', description='A powerful monster with Green skin and a Blue aura.', endurance=18, hitpoints=885, intelligence=42, location='The Mountains', strength=14, willpower=39)
Row(name='Ogre', aura='Black', color='Green', description='A powerful monster with Green skin and a Black aura.', endurance=43, hitpoints=445, intelligence=37, location='The Underworld', strength=39, willpower=44)
Row(name='Gnoll', aura='White', color='Green', description='A powerful monster with Green skin and a White aura.', endurance=21, hitpoints=860, intelligence=23, location='The Mountains', strength=33, willpower=33)
Row(name='Orc', aura='Red', color='Blue', description='A powerful monster with Blue skin and a Red aura.', endurance=36, hitpoints=686, intelligence=33, location='The Forest', strength=20, willpower=10)
Row(name='Dragon', aura='Blue', color='Black', description='A powerful monster with Black skin and a Blue aura.', endurance=23, hitpoints=306, intelligence=26, location='The Mountains', strength=42, willpower=17)
Row(name='Troll', aura='Blue', color='Green', description='A powerful monster with Green skin and a Blue aura.', endurance=18, hitpoints=885, intelligence=42, location='The Mountains', strength=14, willpower=39)
Row(name='Ogre', aura='Black', color='Green', description='A powerful monster with Green skin and a Black aura.', endurance=43, hitpoints=445, intelligence=37, location='The Underworld', strength=39, willpower=44)
Row(name='Gnoll', aura='White', color='Green', description='A powerful monster with Green skin and a White aura.', endurance=21, hitpoints=860, intelligence=23, location='The Mountains', strength=33, willpower=33)
Row(name='Orc', aura='Red', color='Blue', description='A powerful monster with Blue skin and a Red aura.', endurance=36, hitpoints=686, intelligence=33, location='The Forest', strength=20, willpower=10)
Row(name='Dragon', aura='Blue', color='Black', description='A powerful monster with Black skin and a Blue aura.', endurance=23, hitpoints=306, intelligence=26, location='The Mountains', strength=42, willpower=17)
Row(name='Troll', aura='Blue', color='Green', description='A powerful monster with Green skin and a Blue aura.', endurance=18, hitpoints=885, intelligence=42, location='The Mountains', strength=14, willpower=39)
Row(name='Ogre', aura='Black', color='Green', description='A powerful monster with Green skin and a Black aura.', endurance=43, hitpoints=445, intelligence=37, location='The Underworld', strength=39, willpower=44)
Row(name='Gnoll', aura='White', color='Green', description='A powerful monster with Green skin and a White aura.', endurance=21, hitpoints=860, intelligence=23, location='The Mountains', strength=33, willpower=33)
Row(name='Orc', aura='Red', color='Blue', description='A powerful monster with Blue skin and a Red aura.', endurance=36, hitpoints=686, intelligence=33, location='The Forest', strength=20, willpower=10)
Row(name='Dragon', aura='Blue', color='Black', description='A powerful monster with Black skin and a Blue aura.', endurance=23, hitpoints=306, intelligence=26, location='The Mountains', strength=42, willpower=17)
Row(name='Troll', aura='Blue', color='Green', description='A powerful monster with Green skin and a Blue aura.', endurance=18, hitpoints=885, intelligence=42, location='The Mountains', strength=14, willpower=39)
Row(name='Ogre', aura='Black', color='Green', description='A powerful monster with Green skin and a Black aura.', endurance=43, hitpoints=445, intelligence=37, location='The Underworld', strength=39, willpower=44)
